Date,index,compound,BP
2004-01-23,2809.0,0.0,20.756292000000002
2004-01-24,2816.0,-0.7964,20.756292000000002
2004-01-25,2821.0,0.4019,20.756292000000002
2004-01-26,2828.0,-0.4215,20.692429
2004-01-27,2836.0,-0.4939,20.717978
2004-01-28,2843.0,0.1027,20.624313
2004-01-29,2852.0,0.1027,20.46678
2004-01-30,2872.0,0.0,20.266663
2004-01-31,2890.0,0.3612,20.266663
2004-02-01,2897.0,-0.2732,20.266663
2004-02-02,2900.0,0.0,20.249632000000002
2004-02-03,2907.0,0.0,20.339041
2004-02-04,2918.0,0.0,20.258152
2004-02-05,2926.0,0.0,20.126158
2004-02-06,2937.0,0.0,20.266663
2004-02-07,2947.0,-0.1531,20.266663
2004-02-08,2949.0,0.0,20.266663
2004-02-09,2953.0,0.0,20.607285
2004-02-10,2962.0,-0.6486,20.245379999999997
2004-02-11,2982.0,0.0,20.402910000000002
2004-02-12,2995.0,0.0,20.322012
2004-02-13,3002.0,0.0,20.458261
2004-02-14,3015.0,-0.4939,20.458261
2004-02-15,3019.0,0.5859,20.458261
2004-02-16,3028.0,-0.5267,20.458261
2004-02-17,3041.0,-0.2732,20.743528
2004-02-18,3051.0,0.2732,20.584524
2004-02-19,3064.0,0.0,20.683365
2004-02-20,3079.0,-0.5994,20.838068
2004-02-21,3090.0,-0.4939,20.838068
2004-02-22,3100.0,0.0,20.838068
2004-02-23,3107.0,0.0,20.842363
2004-02-24,3116.0,0.0,20.855267
2004-02-25,3132.0,0.0,20.945509
2004-02-26,3139.0,0.2732,21.070124
2004-02-27,3150.0,0.0,21.143182999999997
2004-02-28,3156.0,0.0,21.143182999999997
2004-02-29,3163.0,0.5994,21.143182999999997
2004-03-01,3169.0,0.0,21.585814000000003
2004-03-02,3180.0,0.4019,21.315075
2004-03-03,3186.0,-0.7096,21.340854999999998
2004-03-04,3192.0,0.4404,21.469773999999997
2004-03-05,3198.0,0.0,21.529949
2004-03-06,3210.0,-0.1531,21.529949
2004-03-07,3222.0,-0.4404,21.529949
2004-03-08,3230.0,0.0,21.461195
2004-03-09,3237.0,0.0,21.280699
2004-03-10,3241.0,0.0,21.216238
2004-03-11,3248.0,0.0,20.97559
2004-03-12,3252.0,-0.6486,21.057226
2004-03-13,3259.0,0.0,21.057226
2004-03-14,3266.0,0.0,21.057226
2004-03-15,3267.0,-0.4019,21.211939
2004-03-16,3274.0,0.1027,21.340854999999998
2004-03-17,3280.0,0.5719,21.469773999999997
2004-03-18,3287.0,0.0,21.564331
2004-03-19,3293.0,0.0,21.521355
2004-03-20,3306.0,-0.3612,21.521355
2004-03-21,3315.0,0.0,21.521355
2004-03-22,3320.0,0.0,21.027164000000003
2004-03-23,3325.0,-0.7579,21.121696
2004-03-24,3337.0,0.4019,20.820879
2004-03-25,3345.0,0.0,20.610304
2004-03-26,3351.0,-0.2263,20.825170999999997
2004-03-27,3364.0,0.0,20.825170999999997
